CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,PowerSearchQuery
परिक्षण यादव,Parikshan Yadav,धनुषा,dhanusha,1,"(""परिक्षण यादव"" OR ""Parikshan Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
पवन कुमार यादव,Pawan Kumar Yadav,धनुषा,dhanusha,1,"(""पवन कुमार यादव"" OR ""Pawan Kumar Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
बद्री नारायण ठाकुर सोनार,Badri Narayan Thakur Sonar,धनुषा,dhanusha,1,"(""बद्री नारायण ठाकुर सोनार"" OR ""Badri Narayan Thakur Sonar"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
बाल कृष्ण यादव,Bal Krishna Yadav,धनुषा,dhanusha,1,"(""बाल कृष्ण यादव"" OR ""Bal Krishna Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
बिहारी राय अमात,Bihari Ray Amat,धनुषा,dhanusha,1,"(""बिहारी राय अमात"" OR ""Bihari Ray Amat"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
ब्रहमदेव महतो,Brahmadev Mahato,धनुषा,dhanusha,1,"(""ब्रहमदेव महतो"" OR ""Brahmadev Mahato"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
मनमोहन प्रसाद यादव,Manmohan Prasad Yadav,धनुषा,dhanusha,1,"(""मनमोहन प्रसाद यादव"" OR ""Manmohan Prasad Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
मनोज मल्ल ठकुरी,Manoj Malla Thakuri,धनुषा,dhanusha,1,"(""मनोज मल्ल ठकुरी"" OR ""Manoj Malla Thakuri"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
महेश कुमार यादव,Mahesh Kumar Yadav,धनुषा,dhanusha,1,"(""महेश कुमार यादव"" OR ""Mahesh Kumar Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
मातृका प्रसाद यादव,Matrika Prasad Yadav,धनुषा,dhanusha,1,"(""मातृका प्रसाद यादव"" OR ""Matrika Prasad Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
रमेश्‍वर साहु सुडी,Rameshwar Sahu Sudi,धनुषा,dhanusha,1,"(""रमेश्‍वर साहु सुडी"" OR ""Rameshwar Sahu Sudi"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
राज नारायण साह,Raj Narayan Sah,धनुषा,dhanusha,1,"(""राज नारायण साह"" OR ""Raj Narayan Sah"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
राजेश कुमार सहनी,Rajesh Kumar Sahani,धनुषा,dhanusha,1,"(""राजेश कुमार सहनी"" OR ""Rajesh Kumar Sahani"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
राम दुलारी महतो,Ram Dulari Mahato,धनुषा,dhanusha,1,"(""राम दुलारी महतो"" OR ""Ram Dulari Mahato"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
राम पलटन साह,Ram Paltan Sah,धनुषा,dhanusha,1,"(""राम पलटन साह"" OR ""Ram Paltan Sah"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
राम बहादुर लामा,Ram Bahadur Lama,धनुषा,dhanusha,1,"(""राम बहादुर लामा"" OR ""Ram Bahadur Lama"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
रामचन्द्र मण्डल,Ramchandra Mandal,धनुषा,dhanusha,1,"(""रामचन्द्र मण्डल"" OR ""Ramchandra Mandal"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
रामपृत दास तत्मा,Ramprit Das Tatma,धनुषा,dhanusha,1,"(""रामपृत दास तत्मा"" OR ""Ramprit Das Tatma"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
रोशन कुमार साह,Roshan Kumar Sah,धनुषा,dhanusha,1,"(""रोशन कुमार साह"" OR ""Roshan Kumar Sah"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
लालेश्वर यादव,Laleshwar Yadav,धनुषा,dhanusha,1,"(""लालेश्वर यादव"" OR ""Laleshwar Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
विजय कुमार यादब,Vijay Kumar Yadav,धनुषा,dhanusha,1,"(""विजय कुमार यादब"" OR ""Vijay Kumar Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
शारदा देवी घिसिङग्,Sharda Devi Ghisingg,धनुषा,dhanusha,1,"(""शारदा देवी घिसिङग्"" OR ""Sharda Devi Ghisingg"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
सतार मंसुर,Sattar Mansur,धनुषा,dhanusha,1,"(""सतार मंसुर"" OR ""Sattar Mansur"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
सुदिप कुमार यादव,Sudip Kumar Yadav,धनुषा,dhanusha,1,"(""सुदिप कुमार यादव"" OR ""Sudip Kumar Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
सुदिश मंडल,Sudish Mandal,धनुषा,dhanusha,1,"(""सुदिश मंडल"" OR ""Sudish Mandal"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
सुमन विश्‍वकर्मा,Suman Vishwakarma,धनुषा,dhanusha,1,"(""सुमन विश्‍वकर्मा"" OR ""Suman Vishwakarma"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
सोचिन्दर यादव,Sochindra Yadav,धनुषा,dhanusha,1,"(""सोचिन्दर यादव"" OR ""Sochindra Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
स‌ंजित कुमार साह,Sanjit Kumar Sah,धनुषा,dhanusha,1,"(""स‌ंजित कुमार साह"" OR ""Sanjit Kumar Sah"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
अजय कुमार यादव,Ajay Kumar Yadav,धनुषा,dhanusha,3,"(""अजय कुमार यादव"" OR ""Ajay Kumar Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
अमरेन्द्र कुमार झा,Amarendra Kumar Jha,धनुषा,dhanusha,3,"(""अमरेन्द्र कुमार झा"" OR ""Amarendra Kumar Jha"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
